Loan_ID;Loan_Label;Attached_client;credit_amount;annual_interest_rate;monthly_amount;defaulted;default_loan_amount
1;ARDHI;1;19220;0.15946605676935346;1056.244800925581;0;
2;ARDHI;2;34280;0.09524480208729977;476.13027034367207;0;
3;ARDHI;3;29432;0.170398965166095;724.5151952307091;0;
4;BINAA;4;51854;0.16625248148447364;1198.5343108709542;0;
5;BINAA;5;27210;0.15303939011526602;480.39917002754214;1;3533
6;ARDHI;6;39310;0.12633001039061778;647.8241542760273;0;
7;ARDHI;7;18288;0.09164835765739247;520.6720970698661;0;
8;MELKI;8;42656;0.12494135058984238;653.2228934457127;1;5178
9;BINAA;9;58560;0.13142595297025003;1183.5808727170424;0;
10;ARDHI;10;41760;0.12255151759432487;643.9792812282506;0;
11;ARDHI;11;41290;0.17940453387693356;999.615915129697;0;
12;BINAA;12;37450;0.09017115053358896;3402.2424656235758;0;
13;BINAA;13;16110;0.11155124066832267;341.54325488293745;0;
14;MELKI;14;65784;0.10411307452519647;936.2145412137937;0;
15;MELKI;15;39250;0.12321342732403902;948.1494740945998;0;
16;MELKI;16;23303;0.16299691349317272;455.23475626095035;0;
17;BINAA;17;40194;0.1526139067074142;708.2096922811897;0;
18;BINAA;18;36322;0.15264946962638754;840.3986696474707;0;
19;BINAA;19;42156;0.13847366846261513;3999.4579973091672;0;
20;BINAA;20;39051;0.1188163394711248;567.4497393905745;0;
21;ARDHI;21;65715;0.17535122034708522;1568.7393426479478;0;
22;ARDHI;22;25896;0.1596549287158462;1423.535336168796;0;
23;BINAA;23;57239;0.12017385048833684;913.9275856751594;1;7403
24;ARDHI;24;25200;0.16405128362191396;506.04615714448084;0;
25;BINAA;25;52320;0.09169848742351384;763.1387384998537;0;
26;BINAA;26;23568;0.09226248406739616;312.13685204169946;0;
27;BINAA;27;43329;0.13583342725832617;1694.0438808063345;0;
28;MELKI;28;44916;0.1206383522193712;986.2636380713923;0;
29;MELKI;29;71700;0.1597256041855759;1413.9758696242006;0;
30;MELKI;30;21308;0.1743686497309951;664.7539323723371;0;
31;ARDHI;31;29400;0.1646142046561846;591.7663398691907;0;
32;MELKI;32;61490;0.1781837083054061;1378.8763519749518;0;
33;ARDHI;33;43615;0.1483490194501142;902.645206943061;0;
34;MELKI;34;43800;0.09284369894615718;795.1295011534736;0;
35;ARDHI;35;23466;0.09630540326992457;383.87521609433753;0;
